DateTime, month_2, month_3, month_4, month_5, month_6, month_7, month_8, month_9, month_10, month_11, month_12
2019-09-19 02:00:00, 902, 552, 435, 523, 407, 387, 375, 333, 310, 302, 299
2019-09-19 03:00:00, 909, 556, 441, 528, 417, 390, 378, 339, 314, 307, 306
2019-09-19 04:00:00, 912, 558, 443, 535, 419, 392, 381, 344, 317, 309, 309
2019-09-19 05:00:00, 914, 559, 445, 536, 420, 394, 382, 346, 320, 311, 311
2019-09-19 06:00:00, 915, 561, 447, 536, 425, 394, 384, 349, 322, 313, 312
2019-09-19 07:00:00, 918, 565, 452, 538, 432, 399, 390, 352, 323, 316, 315
2019-09-19 08:00:00, 926, 569, 455, 543, 438, 403, 393, 356, 327, 322, 319
2019-09-19 09:00:00, 938, 575, 463, 551, 445, 413, 403, 362, 333, 326, 326
2019-09-19 10:00:00, 948, 590, 478, 562, 451, 422, 414, 377, 343, 338, 339
2019-09-19 11:00:00, 976, 610, 491, 580, 475, 434, 430, 383, 358, 348, 350
2019-09-19 12:00:00, 1000, 640, 506, 604, 492, 451, 441, 400, 379, 362, 366
2019-09-19 13:00:00, 1026, 652, 532, 628, 516, 462, 453, 412, 397, 373, 377
2019-09-19 14:00:00, 1052, 666, 548, 648, 536, 484, 472, 424, 411, 389, 386
2019-09-19 15:00:00, 1074, 682, 564, 663, 559, 502, 486, 439, 424, 393, 397
2019-09-19 16:00:00, 1097, 705, 575, 677, 569, 519, 505, 456, 442, 404, 409
2019-09-19 17:00:00, 1116, 719, 590, 697, 584, 535, 518, 472, 454, 422, 423
2019-09-19 18:00:00, 1136, 737, 602, 713, 595, 557, 529, 481, 460, 437, 430
2019-09-19 19:00:00, 1158, 756, 615, 729, 604, 567, 550, 495, 474, 447, 442
2019-09-19 20:00:00, 1173, 771, 630, 748, 618, 574, 564, 508, 483, 453, 453
2019-09-19 21:00:00, 1197, 787, 647, 761, 630, 582, 575, 529, 497, 466, 467
2019-09-19 22:00:00, 1217, 801, 665, 778, 639, 599, 585, 541, 507, 473, 473
2019-09-19 23:00:00, 1236, 821, 683, 798, 648, 616, 602, 554, 519, 488, 485
2019-09-20 00:00:00, 1258, 844, 700, 815, 663, 637, 618, 570, 532, 500, 499
2019-09-20 01:00:00, 1271, 865, 716, 832, 675, 650, 633, 582, 543, 513, 511
2019-09-20 02:00:00, 1278, 867, 720, 841, 682, 658, 638, 592, 548, 517, 513
2019-09-20 03:00:00, 1280, 867, 727, 842, 687, 662, 644, 598, 548, 517, 516
2019-09-20 04:00:00, 1281, 870, 728, 843, 694, 665, 646, 603, 549, 517, 517
2019-09-20 05:00:00, 1281, 871, 728, 844, 695, 665, 649, 603, 550, 518, 518
2019-09-20 06:00:00, 1281, 871, 728, 844, 696, 665, 650, 604, 552, 518, 518
2019-09-20 07:00:00, 1281, 871, 728, 844, 696, 667, 650, 605, 554, 519, 519
2019-09-20 08:00:00, 1283, 872, 729, 845, 697, 669, 651, 606, 555, 519, 520
2019-09-20 09:00:00, 1286, 872, 731, 847, 697, 671, 653, 607, 555, 519, 521
2019-09-20 10:00:00, 1291, 878, 734, 849, 702, 675, 658, 609, 561, 525, 524
2019-09-20 11:00:00, 1308, 885, 742, 865, 710, 680, 662, 619, 568, 533, 531
2019-09-20 12:00:00, 1314, 895, 750, 875, 724, 691, 670, 626, 576, 541, 538
2019-09-20 13:00:00, 1328, 903, 764, 890, 736, 705, 685, 636, 585, 551, 543
2019-09-20 14:00:00, 1335, 916, 773, 907, 740, 725, 704, 647, 594, 563, 551
2019-09-20 15:00:00, 1344, 929, 786, 922, 748, 737, 715, 658, 602, 572, 570
2019-09-20 16:00:00, 1359, 941, 798, 940, 764, 745, 731, 666, 611, 582, 584
2019-09-20 17:00:00, 1376, 952, 816, 954, 780, 756, 743, 682, 624, 588, 590
2019-09-20 18:00:00, 1384, 967, 825, 971, 792, 764, 755, 693, 632, 595, 598
2019-09-20 19:00:00, 1396, 984, 840, 987, 801, 765, 764, 697, 639, 601, 602
2019-09-20 20:00:00, 1404, 994, 853, 999, 809, 782, 774, 705, 649, 613, 610
2019-09-20 21:00:00, 1414, 1002, 863, 1003, 818, 790, 783, 715, 662, 618, 616
2019-09-20 22:00:00, 1426, 1011, 874, 1015, 824, 805, 795, 727, 670, 628, 627
2019-09-20 23:00:00, 1437, 1022, 884, 1024, 834, 818, 808, 735, 679, 640, 634
2019-09-21 00:00:00, 1454, 1037, 890, 1037, 848, 828, 822, 746, 686, 646, 641
2019-09-21 01:00:00, 1461, 1045, 896, 1052, 861, 840, 836, 756, 697, 655, 652
2019-09-21 02:00:00, 1469, 1048, 904, 1060, 869, 843, 845, 760, 702, 657, 659
2019-09-21 03:00:00, 1472, 1050, 908, 1061, 870, 844, 846, 763, 706, 662, 659
2019-09-21 04:00:00, 1473, 1052, 910, 1062, 872, 845, 846, 764, 706, 662, 661
2019-09-21 05:00:00, 1473, 1053, 910, 1063, 873, 847, 848, 765, 706, 662, 661
2019-09-21 06:00:00, 1473, 1053, 910, 1063, 874, 847, 849, 767, 706, 663, 662
2019-09-21 07:00:00, 1473, 1055, 910, 1064, 875, 849, 849, 768, 707, 662, 663
2019-09-21 08:00:00, 1473, 1056, 910, 1064, 876, 849, 849, 769, 707, 661, 664
2019-09-21 09:00:00, 1472, 1060, 911, 1065, 877, 852, 851, 770, 708, 661, 664
2019-09-21 10:00:00, 1477, 1062, 912, 1065, 883, 856, 852, 775, 712, 667, 666
2019-09-21 11:00:00, 1481, 1065, 916, 1070, 885, 864, 858, 785, 716, 671, 671
2019-09-21 12:00:00, 1485, 1072, 920, 1081, 896, 872, 862, 795, 725, 678, 677
2019-09-21 13:00:00, 1496, 1081, 924, 1091, 904, 890, 878, 806, 730, 684, 685
2019-09-21 14:00:00, 1504, 1098, 934, 1104, 912, 903, 890, 813, 738, 695, 697
2019-09-21 15:00:00, 1513, 1110, 943, 1121, 927, 912, 901, 820, 745, 701, 700
2019-09-21 16:00:00, 1529, 1119, 951, 1136, 943, 923, 912, 833, 754, 712, 707
2019-09-21 17:00:00, 1540, 1126, 961, 1147, 955, 931, 921, 845, 760, 719, 717
2019-09-21 18:00:00, 1546, 1135, 968, 1163, 962, 944, 930, 848, 768, 729, 724
2019-09-21 19:00:00, 1556, 1143, 979, 1175, 969, 955, 943, 852, 780, 736, 728
2019-09-21 20:00:00, 1564, 1153, 990, 1191, 980, 967, 951, 858, 787, 739, 734
2019-09-21 21:00:00, 1567, 1162, 1003, 1204, 993, 980, 964, 870, 796, 750, 742
2019-09-21 22:00:00, 1576, 1172, 1014, 1224, 1005, 994, 971, 881, 804, 756, 748
2019-09-21 23:00:00, 1579, 1186, 1022, 1235, 1018, 1006, 978, 896, 811, 763, 756
2019-09-22 00:00:00, 1592, 1199, 1030, 1249, 1029, 1023, 989, 908, 820, 774, 770
2019-09-22 01:00:00, 1594, 1202, 1037, 1266, 1044, 1038, 999, 917, 825, 779, 776
2019-09-22 02:00:00, 1597, 1204, 1047, 1271, 1054, 1047, 1004, 923, 827, 783, 782
2019-09-22 03:00:00, 1601, 1206, 1049, 1272, 1057, 1051, 1009, 926, 831, 786, 788
2019-09-22 04:00:00, 1601, 1207, 1053, 1274, 1057, 1054, 1010, 927, 832, 790, 790
2019-09-22 05:00:00, 1601, 1207, 1053, 1274, 1059, 1054, 1012, 927, 832, 791, 790
2019-09-22 06:00:00, 1603, 1207, 1053, 1274, 1060, 1054, 1013, 927, 834, 791, 790
2019-09-22 07:00:00, 1603, 1208, 1053, 1274, 1060, 1054, 1014, 928, 835, 792, 790
2019-09-22 08:00:00, 1604, 1208, 1053, 1275, 1060, 1054, 1014, 931, 837, 793, 791
2019-09-22 09:00:00, 1603, 1209, 1054, 1276, 1062, 1056, 1014, 932, 838, 793, 793
2019-09-22 10:00:00, 1605, 1213, 1058, 1276, 1065, 1057, 1013, 934, 843, 795, 794
2019-09-22 11:00:00, 1608, 1222, 1059, 1281, 1073, 1066, 1021, 939, 846, 800, 797
2019-09-22 12:00:00, 1619, 1228, 1066, 1286, 1077, 1069, 1030, 942, 854, 803, 802
2019-09-22 13:00:00, 1627, 1235, 1073, 1299, 1091, 1079, 1040, 948, 864, 812, 809
2019-09-22 14:00:00, 1636, 1243, 1085, 1310, 1106, 1087, 1052, 958, 877, 822, 823
2019-09-22 15:00:00, 1645, 1257, 1097, 1321, 1126, 1095, 1064, 971, 885, 833, 831
2019-09-22 16:00:00, 1659, 1270, 1107, 1341, 1142, 1110, 1073, 984, 895, 845, 846
2019-09-22 17:00:00, 1665, 1284, 1116, 1359, 1155, 1123, 1082, 994, 906, 862, 857
2019-09-22 18:00:00, 1678, 1296, 1128, 1376, 1170, 1132, 1096, 1005, 913, 869, 865
2019-09-22 19:00:00, 1679, 1311, 1135, 1385, 1184, 1143, 1105, 1012, 930, 877, 880
2019-09-22 20:00:00, 1687, 1326, 1145, 1400, 1198, 1156, 1119, 1036, 934, 885, 886
2019-09-22 21:00:00, 1700, 1342, 1155, 1415, 1213, 1174, 1132, 1047, 943, 896, 895
2019-09-22 22:00:00, 1704, 1354, 1167, 1427, 1229, 1183, 1152, 1064, 961, 911, 909
2019-09-22 23:00:00, 1710, 1361, 1178, 1446, 1245, 1199, 1161, 1084, 972, 926, 921
2019-09-23 00:00:00, 1719, 1372, 1195, 1459, 1260, 1220, 1176, 1099, 991, 937, 936
2019-09-23 01:00:00, 1722, 1382, 1209, 1473, 1274, 1240, 1192, 1110, 1006, 947, 946
2019-09-23 02:00:00, 1729, 1392, 1210, 1483, 1280, 1249, 1201, 1116, 1016, 956, 956
2019-09-23 03:00:00, 1732, 1394, 1213, 1487, 1289, 1253, 1203, 1123, 1019, 962, 958
2019-09-23 04:00:00, 1734, 1394, 1215, 1490, 1291, 1255, 1206, 1129, 1022, 963, 959
2019-09-23 05:00:00, 1735, 1395, 1216, 1492, 1292, 1256, 1207, 1129, 1022, 965, 959
